Type,Year,Mortality Rate
Infant,1915,99.9
Infant,1916,101
Infant,1917,93.8
Infant,1918,100.9
Infant,1919,86.6
Infant,1920,85.8
Infant,1921,75.6
Infant,1922,76.2
Infant,1923,77.1
Infant,1924,70.8
Infant,1925,71.7
Infant,1926,73.3
Infant,1927,64.6
Infant,1928,68.7
Infant,1929,67.6
Infant,1930,64.6
Infant,1931,61.6
Infant,1932,57.6
Infant,1933,58.1
Infant,1934,60.1
Infant,1935,55.7
Infant,1936,57.1
Infant,1937,54.4
Infant,1938,51
Infant,1939,48
Infant,1940,47
Infant,1941,45.3
Infant,1942,40.4
Infant,1943,40.4
Infant,1944,39.8
Infant,1945,38.3
Infant,1946,33.8
Infant,1947,32.2
Infant,1948,32
Infant,1949,31.3
Infant,1950,29.2
Infant,1951,28.4
Infant,1952,28.4
Infant,1953,27.8
Infant,1954,26.6
Infant,1955,26.4
Infant,1956,26
Infant,1957,26.3
Infant,1958,27.1
Infant,1959,26.4
Infant,1960,26
Infant,1961,25.3
Infant,1962,25.3
Infant,1963,25.2
Infant,1964,24.8
Infant,1965,24.7
Infant,1966,23.7
Infant,1967,22.4
Infant,1968,21.8
Infant,1969,20.9
Infant,1970,20
Infant,1971,19.1
Infant,1972,18.5
Infant,1973,17.7
Infant,1974,16.7
Infant,1975,16.1
Infant,1976,15.2
Infant,1977,14.1
Infant,1978,13.8
Infant,1979,13.1
Infant,1980,12.6
Infant,1981,11.9
Infant,1982,11.5
Infant,1983,11.2
Infant,1984,10.8
Infant,1985,10.6
Infant,1986,10.4
Infant,1987,10.1
Infant,1988,10
Infant,1989,9.8
Infant,1990,9.2
Infant,1991,8.9
Infant,1992,8.5
Infant,1993,8.4
Infant,1994,8
Infant,1995,7.6
Infant,1996,7.3
Infant,1997,7.2
Infant,1998,7.2
Infant,1999,7.1
Infant,2000,6.9
Infant,2001,6.8
Infant,2002,7
Infant,2003,6.8
Infant,2004,6.8
Infant,2005,6.9
Infant,2006,6.7
Infant,2007,6.8
Infant,2008,6.6
Infant,2009,6.4
Infant,2010,6.2
Infant,2011,6.1
Infant,2012,6
Infant,2013,6
